Date,Open,High,Low,Close,Adj Close,Volume
4/29/2010,11.79,11.79,11.79,11.79,8.22158,0
4/30/2010,11.89,11.89,11.89,11.89,8.326631,0
5/3/2010,11.88,11.88,11.88,11.88,8.31963,0
5/4/2010,12.01,12.01,12.01,12.01,8.410668,0
5/5/2010,12.03,12.03,12.03,12.03,8.424673,0
5/6/2010,12.23,12.23,12.23,12.23,8.564733,0
5/7/2010,12.04,12.04,12.04,12.04,8.431674,0
5/10/2010,11.91,11.91,11.91,11.91,8.340636,0
5/11/2010,11.89,11.89,11.89,11.89,8.326631,0
5/12/2010,11.83,11.83,11.83,11.83,8.284609,0
5/13/2010,11.9,11.9,11.9,11.9,8.333629,0
5/14/2010,12.02,12.02,12.02,12.02,8.417671,0
5/17/2010,11.98,11.98,11.98,11.98,8.389655,0
5/18/2010,12.12,12.12,12.12,12.12,8.487702,0
5/19/2010,12.11,12.11,12.11,12.11,8.480692,0
5/20/2010,12.23,12.23,12.23,12.23,8.564733,0
5/21/2010,12.23,12.23,12.23,12.23,8.564733,0
5/24/2010,12.19,12.19,12.19,12.19,8.536723,0
5/25/2010,12.21,12.21,12.21,12.21,8.550726,0
5/26/2010,12.17,12.17,12.17,12.17,8.522717,0
5/27/2010,11.95,11.95,11.95,11.95,8.368651,0
5/28/2010,12.01,12.01,12.01,12.01,8.446715,0
6/1/2010,12.05,12.05,12.05,12.05,8.474849,0
6/2/2010,11.96,11.96,11.96,11.96,8.411547,0
6/3/2010,11.92,11.92,11.92,11.92,8.383416,0
6/4/2010,12.15,12.15,12.15,12.15,8.545177,0
6/7/2010,12.21,12.21,12.21,12.21,8.587382,0
6/8/2010,12.14,12.14,12.14,12.14,8.538148,0
6/9/2010,12.12,12.12,12.12,12.12,8.524079,0
6/10/2010,11.94,11.94,11.94,11.94,8.397485,0
6/11/2010,12.06,12.06,12.06,12.06,8.481884,0
6/14/2010,12.02,12.02,12.02,12.02,8.453745,0
6/15/2010,11.97,11.97,11.97,11.97,8.418582,0
6/16/2010,12.03,12.03,12.03,12.03,8.46078,0
6/17/2010,12.11,12.11,12.11,12.11,8.517039,0
6/18/2010,12.09,12.09,12.09,12.09,8.502981,0
6/21/2010,12.08,12.08,12.08,12.08,8.49595,0
6/22/2010,12.19,12.19,12.19,12.19,8.57331,0
6/23/2010,12.26,12.26,12.26,12.26,8.62254,0
6/24/2010,12.19,12.19,12.19,12.19,8.57331,0
6/25/2010,12.22,12.22,12.22,12.22,8.594408,0
6/28/2010,12.31,12.31,12.31,12.31,8.657704,0
6/29/2010,12.4,12.4,12.4,12.4,8.721006,0
6/30/2010,12.46,12.46,12.46,12.46,8.797966,0
7/1/2010,12.47,12.47,12.47,12.47,8.80503,0
7/2/2010,12.39,12.39,12.39,12.39,8.748544,0
7/6/2010,12.47,12.47,12.47,12.47,8.80503,0
7/7/2010,12.36,12.36,12.36,12.36,8.727358,0
7/8/2010,12.31,12.31,12.31,12.31,8.692057,0
7/9/2010,12.27,12.27,12.27,12.27,8.663812,0
7/12/2010,12.27,12.27,12.27,12.27,8.663812,0
7/13/2010,12.2,12.2,12.2,12.2,8.614384,0
7/14/2010,12.31,12.31,12.31,12.31,8.692057,0
7/15/2010,12.4,12.4,12.4,12.4,8.755603,0
7/16/2010,12.46,12.46,12.46,12.46,8.797966,0
7/19/2010,12.4,12.4,12.4,12.4,8.755603,0
7/20/2010,12.42,12.42,12.42,12.42,8.769726,0
7/21/2010,12.58,12.58,12.58,12.58,8.882701,0
7/22/2010,12.48,12.48,12.48,12.48,8.812089,0
7/23/2010,12.39,12.39,12.39,12.39,8.748544,0
7/26/2010,12.4,12.4,12.4,12.4,8.755603,0
7/27/2010,12.33,12.33,12.33,12.33,8.706175,0
7/28/2010,12.38,12.38,12.38,12.38,8.741479,0
7/29/2010,12.39,12.39,12.39,12.39,8.748544,0
7/30/2010,12.53,12.53,12.53,12.53,8.883247,0
8/2/2010,12.43,12.43,12.43,12.43,8.812353,0
8/3/2010,12.49,12.49,12.49,12.49,8.854886,0
8/4/2010,12.42,12.42,12.42,12.42,8.805258,0
8/5/2010,12.47,12.47,12.47,12.47,8.840706,0
8/6/2010,12.58,12.58,12.58,12.58,8.918694,0
8/9/2010,12.55,12.55,12.55,12.55,8.897423,0
8/10/2010,12.57,12.57,12.57,12.57,8.911599,0
8/11/2010,12.69,12.69,12.69,12.69,8.996676,0
8/12/2010,12.64,12.64,12.64,12.64,8.961228,0
8/13/2010,12.76,12.76,12.76,12.76,9.046302,0
8/16/2010,12.98,12.98,12.98,12.98,9.202275,0
8/17/2010,12.91,12.91,12.91,12.91,9.152646,0
8/18/2010,12.95,12.95,12.95,12.95,9.181003,0
8/19/2010,13.09,13.09,13.09,13.09,9.280262,0
8/20/2010,13.05,13.05,13.05,13.05,9.251905,0
8/23/2010,13.04,13.04,13.04,13.04,9.244816,0
8/24/2010,13.2,13.2,13.2,13.2,9.358247,0
8/25/2010,13.14,13.14,13.14,13.14,9.315704,0
8/26/2010,13.22,13.22,13.22,13.22,9.372423,0
8/27/2010,12.93,12.93,12.93,12.93,9.16683,0
8/30/2010,13.11,13.11,13.11,13.11,9.29444,0
8/31/2010,13.2,13.2,13.2,13.2,9.39407,0
9/1/2010,13,13,13,13,9.251743,0
9/2/2010,12.91,12.91,12.91,12.91,9.187693,0
9/3/2010,12.8,12.8,12.8,12.8,9.109404,0
9/7/2010,12.99,12.99,12.99,12.99,9.244622,0
9/8/2010,12.91,12.91,12.91,12.91,9.187693,0
9/9/2010,12.73,12.73,12.73,12.73,9.05959,0
9/10/2010,12.7,12.7,12.7,12.7,9.03824,0
9/13/2010,12.75,12.75,12.75,12.75,9.073821,0
9/14/2010,12.85,12.85,12.85,12.85,9.144992,0
9/15/2010,12.72,12.72,12.72,12.72,9.052474,0
9/16/2010,12.65,12.65,12.65,12.65,9.002654,0
9/17/2010,12.66,12.66,12.66,12.66,9.009774,0
9/20/2010,12.71,12.71,12.71,12.71,9.045358,0
9/21/2010,12.85,12.85,12.85,12.85,9.144992,0
9/22/2010,12.93,12.93,12.93,12.93,9.201923,0
9/23/2010,12.95,12.95,12.95,12.95,9.216157,0
9/24/2010,12.82,12.82,12.82,12.82,9.123641,0
9/27/2010,12.98,12.98,12.98,12.98,9.237507,0
9/28/2010,13.05,13.05,13.05,13.05,9.287321,0
9/29/2010,13.01,13.01,13.01,13.01,9.258856,0
9/30/2010,13,13,13,13,9.286002,0
10/1/2010,12.96,12.96,12.96,12.96,9.257428,0
10/4/2010,12.99,12.99,12.99,12.99,9.278861,0
10/5/2010,12.96,12.96,12.96,12.96,9.257428,0
10/6/2010,13.08,13.08,13.08,13.08,9.343147,0
10/7/2010,13.03,13.03,13.03,13.03,9.30743,0
10/8/2010,12.99,12.99,12.99,12.99,9.278861,0
10/11/2010,12.99,12.99,12.99,12.99,9.278861,0
