"date","Stock","Close"
2011-04-13,"BND",80.06
2011-04-12,"BND",79.91
2011-04-11,"BND",79.63
2011-04-08,"BND",79.62
2011-04-07,"BND",79.67
2011-04-06,"BND",79.6918
2011-04-05,"BND",79.81
2011-04-04,"BND",79.99
2011-04-01,"BND",79.89
2011-03-31,"BND",80.02
2011-03-30,"BND",80.11
2011-03-29,"BND",79.97
2011-03-28,"BND",80.11
2011-03-25,"BND",80.18
2011-03-24,"BND",80.29
2011-03-23,"BND",80.42
2011-03-22,"BND",80.45
2011-03-21,"BND",80.48
2011-03-18,"BND",80.71
2011-03-17,"BND",80.7201
2011-03-16,"BND",80.84
2011-03-15,"BND",80.46
2011-03-14,"BND",80.41
2011-03-11,"BND",80.33
2011-03-10,"BND",80.32
2011-03-09,"BND",79.95
2011-03-08,"BND",79.81
2011-03-07,"BND",79.88
2011-03-04,"BND",79.89
2011-03-03,"BND",79.62
2011-03-02,"BND",79.94
2011-03-01,"BND",80.1
2011-02-28,"BND",80.35
2011-02-25,"BND",80.24
2011-02-24,"BND",80.02
2011-02-23,"BND",79.94
2011-02-22,"BND",79.95
2011-02-18,"BND",79.65
2011-02-17,"BND",79.65
2011-02-16,"BND",79.53
2011-02-15,"BND",79.5
2011-02-14,"BND",79.39
2011-02-11,"BND",79.3
2011-02-10,"BND",79.03
2011-02-09,"BND",79.28
2011-02-08,"BND",79.09
2011-02-07,"BND",79.34
2011-02-04,"BND",79.33
2011-02-03,"BND",79.6
2011-02-02,"BND",79.87
2011-02-01,"BND",79.96
2011-01-31,"BND",80.34
2011-01-28,"BND",80.45
2011-01-27,"BND",80.28
2011-01-26,"BND",80.12
2011-01-25,"BND",80.4
2011-01-24,"BND",80.19
2011-01-21,"BND",80.2
2011-01-20,"BND",80.04
2011-01-19,"BND",80.34
2011-01-18,"BND",80.24
2011-01-14,"BND",80.32
2011-01-13,"BND",80.43
2011-01-12,"BND",80.18
2011-01-11,"BND",80.23
2011-01-10,"BND",80.39
2011-01-07,"BND",80.2025
2011-01-06,"BND",79.9
2011-01-05,"BND",79.83
2011-01-04,"BND",80.18
2011-01-03,"BND",80.17
2010-12-31,"BND",80.27
2010-12-30,"BND",80
2010-12-29,"BND",79.99
2010-12-28,"BND",79.52
2010-12-27,"BND",80.04
2010-12-23,"BND",80.4
2010-12-22,"BND",80.49
2010-12-21,"BND",80.58
2010-12-20,"BND",80.49
2010-12-17,"BND",80.44
2010-12-16,"BND",79.95
2010-12-15,"BND",79.77
2010-12-14,"BND",80.02
2010-12-13,"BND",80.53
2010-12-10,"BND",80.32
2010-12-09,"BND",80.58
2010-12-08,"BND",80.51
2010-12-07,"BND",80.93
2010-12-06,"BND",81.52
2010-12-03,"BND",81.25
2010-12-02,"BND",81.12
2010-12-01,"BND",81.19
2010-11-30,"BND",81.91
2010-11-29,"BND",81.88
2010-11-26,"BND",81.82
2010-11-24,"BND",81.63
2010-11-23,"BND",82.02
2010-11-22,"BND",82
2010-11-19,"BND",81.76
2010-11-18,"BND",81.74
2010-11-17,"BND",81.74
2010-11-16,"BND",81.72
2010-11-15,"BND",81.45
2010-11-12,"BND",81.84
2010-11-11,"BND",82.21
2010-11-10,"BND",82.18
2010-11-09,"BND",82.21
2010-11-08,"BND",82.63
2010-11-05,"BND",82.61
2010-11-04,"BND",82.96
2010-11-03,"BND",82.7
2010-11-02,"BND",82.61
2010-11-01,"BND",82.47
2010-10-29,"BND",82.7
2010-10-28,"BND",82.55
2010-10-27,"BND",82.27
2010-10-26,"BND",82.44
2010-10-25,"BND",82.67
2010-10-22,"BND",82.62
2010-10-21,"BND",82.67
2010-10-20,"BND",82.74
2010-10-19,"BND",82.77
2010-10-18,"BND",82.65
2010-10-15,"BND",82.34
2010-10-14,"BND",82.53
2010-10-13,"BND",82.85
2010-10-12,"BND",82.72
2010-10-11,"BND",82.8
2010-10-08,"BND",82.83
2010-10-07,"BND",82.93
2010-10-06,"BND",82.79
2010-10-05,"BND",82.6
2010-10-04,"BND",82.58
2010-10-01,"BND",82.37
2010-09-30,"BND",82.66
2010-09-29,"BND",82.7
2010-09-28,"BND",82.79
2010-09-27,"BND",82.61
2010-09-24,"BND",82.26
2010-09-23,"BND",82.45
2010-09-22,"BND",82.43
2010-09-21,"BND",82.36
2010-09-20,"BND",82.06
2010-09-17,"BND",82
2010-09-16,"BND",81.92
2010-09-15,"BND",82.05
2010-09-14,"BND",82.13
2010-09-13,"BND",82.01
2010-09-10,"BND",81.8
2010-09-09,"BND",81.9
2010-09-08,"BND",82.21
2010-09-07,"BND",82.44
2010-09-03,"BND",82.09
2010-09-02,"BND",82.24
2010-09-01,"BND",82.4
2010-08-31,"BND",82.89
2010-08-30,"BND",82.75
2010-08-27,"BND",82.38
2010-08-26,"BND",82.76
2010-08-25,"BND",82.69
2010-08-24,"BND",82.8
2010-08-23,"BND",82.51
2010-08-20,"BND",82.46
2010-08-19,"BND",82.57
2010-08-18,"BND",82.38
2010-08-17,"BND",82.43
2010-08-16,"BND",82.55
2010-08-13,"BND",82.24
2010-08-12,"BND",82.01
2010-08-11,"BND",82.16
2010-08-10,"BND",82.1
2010-08-09,"BND",81.93
2010-08-06,"BND",82.03
2010-08-05,"BND",81.79
2010-08-04,"BND",81.66
2010-08-03,"BND",81.825
2010-08-02,"BND",81.6
2010-07-30,"BND",81.85
2010-07-29,"BND",81.73
2010-07-28,"BND",81.64
2010-07-27,"BND",81.5
2010-07-26,"BND",81.54
2010-07-23,"BND",81.5
2010-07-22,"BND",81.64
2010-07-21,"BND",81.73
2010-07-20,"BND",81.44
2010-07-19,"BND",81.45
2010-07-16,"BND",81.54
2010-07-15,"BND",81.27
2010-07-14,"BND",81.19
2010-07-13,"BND",80.98
2010-07-12,"BND",81.12
2010-07-09,"BND",81.09
2010-07-08,"BND",81.18
2010-07-07,"BND",81.24
2010-07-06,"BND",81.34
2010-07-02,"BND",81.14
2010-07-01,"BND",81.19
2010-06-30,"BND",81.38
2010-06-29,"BND",81.36
2010-06-28,"BND",81.17
2010-06-25,"BND",81.02
2010-06-24,"BND",80.92
2010-06-23,"BND",81.03
2010-06-22,"BND",80.83
2010-06-21,"BND",80.64
2010-06-18,"BND",80.62
2010-06-17,"BND",80.65
2010-06-16,"BND",80.43
2010-06-15,"BND",80.24
2010-06-14,"BND",80.38
2010-06-11,"BND",80.36
2010-06-10,"BND",80.23
2010-06-09,"BND",80.56
2010-06-08,"BND",80.56
2010-06-07,"BND",80.59
2010-06-04,"BND",80.34
2010-06-03,"BND",80.12
2010-06-02,"BND",80.21
2010-06-01,"BND",80.28
2010-05-28,"BND",80.46
2010-05-27,"BND",80.3
2010-05-26,"BND",80.61
2010-05-25,"BND",80.71
2010-05-24,"BND",80.69
2010-05-21,"BND",80.7
2010-05-20,"BND",80.59
2010-05-19,"BND",80.45
2010-05-18,"BND",80.43
2010-05-17,"BND",80.13
2010-05-14,"BND",80.12
2010-05-13,"BND",79.85
2010-05-12,"BND",79.7
2010-05-11,"BND",79.92
2010-05-10,"BND",79.81
2010-05-07,"BND",79.9
2010-05-06,"BND",80.0999
2010-05-05,"BND",79.79
2010-05-04,"BND",79.749
2010-05-03,"BND",79.52
2010-04-30,"BND",79.8
2010-04-29,"BND",79.57
2010-04-28,"BND",79.54
2010-04-27,"BND",79.59
2010-04-26,"BND",79.3
2010-04-23,"BND",79.34
2010-04-22,"BND",79.4
2010-04-21,"BND",79.45
2010-04-20,"BND",79.39
2010-04-19,"BND",79.31
2010-04-16,"BND",79.41
2010-04-15,"BND",79.24
2010-04-14,"BND",79.12
2010-04-13,"BND",79.18
2010-04-12,"BND",79.02
2010-04-09,"BND",78.94
2010-04-08,"BND",78.79
2010-04-07,"BND",78.83
2010-04-06,"BND",78.53
2010-04-05,"BND",78.47
2010-04-01,"BND",78.9301
2010-03-31,"BND",79.2
2010-03-30,"BND",79.13
2010-03-29,"BND",78.97
2010-03-26,"BND",79.14
2010-03-25,"BND",78.97
2010-03-24,"BND",79.22
2010-03-23,"BND",79.62
2010-03-22,"BND",79.62
2010-03-19,"BND",79.54
2010-03-18,"BND",79.48
2010-03-17,"BND",79.62
2010-03-16,"BND",79.6
2010-03-15,"BND",79.46
2010-03-12,"BND",79.35
2010-03-11,"BND",79.32
2010-03-10,"BND",79.33
2010-03-09,"BND",79.3937
2010-03-08,"BND",79.34
2010-03-05,"BND",79.47
2010-03-04,"BND",79.59
2010-03-03,"BND",79.53
2010-03-02,"BND",79.52
2010-03-01,"BND",79.46
2010-02-26,"BND",79.61
2010-02-25,"BND",79.52
2010-02-24,"BND",79.41
2010-02-23,"BND",79.31
2010-02-22,"BND",79.01
2010-02-19,"BND",79.04
2010-02-18,"BND",79.04
2010-02-17,"BND",79.15
2010-02-16,"BND",79.33
2010-02-12,"BND",79.23
2010-02-11,"BND",79.12
2010-02-10,"BND",79.25
2010-02-09,"BND",79.43
2010-02-08,"BND",79.59
2010-02-05,"BND",79.58
2010-02-04,"BND",79.45
2010-02-03,"BND",79.3
2010-02-02,"BND",79.35
2010-02-01,"BND",79.3
2010-01-29,"BND",79.6
2010-01-28,"BND",79.5
2010-01-27,"BND",79.47
2010-01-26,"BND",79.58
2010-01-25,"BND",79.39
2010-01-22,"BND",79.5
2010-01-21,"BND",79.5299
2010-01-20,"BND",79.44
2010-01-19,"BND",79.25
2010-01-15,"BND",79.29
2010-01-14,"BND",79.24
2010-01-13,"BND",79.05
2010-01-12,"BND",79.23
2010-01-11,"BND",78.93
2010-01-08,"BND",78.9
2010-01-07,"BND",78.82
2010-01-06,"BND",78.88
2010-01-05,"BND",78.91
2010-01-04,"BND",78.6799
2009-12-31,"BND",78.59
2009-12-30,"BND",78.65
2009-12-29,"BND",78.54
2009-12-28,"BND",78.49
2009-12-24,"BND",78.66
2009-12-23,"BND",78.98
2009-12-22,"BND",78.99
2009-12-21,"BND",79.16
2009-12-18,"BND",79.53
2009-12-17,"BND",79.55
2009-12-16,"BND",79.33
2009-12-15,"BND",79.29
2009-12-14,"BND",79.36
2009-12-11,"BND",79.43
2009-12-10,"BND",79.52
2009-12-09,"BND",79.63
2009-12-08,"BND",79.71
2009-12-07,"BND",79.58
2009-12-04,"BND",79.37
2009-12-03,"BND",79.7
2009-12-02,"BND",79.78
2009-12-01,"BND",79.89
2009-11-30,"BND",80.25
2009-11-27,"BND",80.29
2009-11-25,"BND",80.15
2009-11-24,"BND",79.99
2009-11-23,"BND",79.79
2009-11-20,"BND",79.73
2009-11-19,"BND",79.77
2009-11-18,"BND",79.71
2009-11-17,"BND",79.69
2009-11-16,"BND",79.71
2009-11-13,"BND",79.51
2009-11-12,"BND",79.56
2009-11-11,"BND",79.47
2009-11-10,"BND",79.27
2009-11-09,"BND",79.24
2009-11-06,"BND",79.08
2009-11-05,"BND",79.06
2009-11-04,"BND",78.99
2009-11-03,"BND",79.01
2009-11-02,"BND",79.15
2009-10-30,"BND",79.47
2009-10-29,"BND",79.14
2009-10-28,"BND",79.1
2009-10-27,"BND",79.18
2009-10-26,"BND",78.9
2009-10-23,"BND",79
2009-10-22,"BND",79.24
2009-10-21,"BND",79.31
2009-10-20,"BND",79.32
2009-10-19,"BND",79.16
2009-10-16,"BND",79.0544
2009-10-15,"BND",79.02
2009-10-14,"BND",79
2009-10-13,"BND",79.338
