SALE.TYPE,SOLD.DATE,PROPERTY.TYPE,PRICE,BEDS,BATHS,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,HOA.MONTH,STATUS,NEXT.OPEN.HOUSE.START.TIME,NEXT.OPEN.HOUSE.END.TIME,URL,SOURCE,MLS.,FAVORITE,INTERESTED,LIST.DATE
PAST SALE,September-5-2017,propertytype:Single Family Residential,USD580000,3,1.5,1272,5332,1950,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/8809-Maywood-Ave-20910/home/10997121,MRIS,MC10005854,N,Y,"Wednesday- Aug 09, 2017"
PAST SALE,September-12-2017,propertytype:Single Family Residential,USD450000,4,3.0,1768,6981,1956,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/1005-Lanark-Way-20901/home/11007998,MRIS,MC10024639,N,Y,"Wednesday- Aug 23, 2017"
PAST SALE,September-15-2017,propertytype:Single Family Residential,USD510000,3,1.5,1453,6860,1948,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/2307-Churchill-Rd-20902/home/10990289,MRIS,MC10001001,N,Y,"Tuesday- Aug 29, 2017"
PAST SALE,September-20-2017,propertytype:Single Family Residential,USD480000,5,3.0,1333,7471,1959,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/2206-Ellis-St-20910/home/11071131,MRIS,MC10000728,N,Y,"Friday- Sep 08, 2017"
PAST SALE,,propertytype:Single Family Residential,USD350000,NA,1.0,1223,5000,1949,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/10416-Hemley-Ln-20902/home/10981108,,,N,Y,NA
PAST SALE,,propertytype:Single Family Residential,USD614900,NA,3.0,1433,7000,1939,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/10516-Lorain-Ave-20901/home/10977407,,,N,Y,NA
PAST SALE,,propertytype:Single Family Residential,USD440000,NA,3.0,1150,6900,1954,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/105-Belton-Rd-20901/home/11060977,,,N,Y,NA
PAST SALE,September-22-2017,propertytype:Townhouse,USD390000,3,3.5,2000,2009,1984,74,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/157-Finale-Ter-20901/home/10590068,MRIS,MC10033198,N,Y,"Tuesday- Sep 12, 2017"
PAST SALE,September-28-2017,propertytype:Single Family Residential,USD385000,3,2.5,1543,8497,1949,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/10312-Colesville-Rd-20901/home/10965040,MRIS,MC9929249,N,Y,"Sunday- Sep 24, 2017"
PAST SALE,September-28-2017,propertytype:Townhouse,USD450000,3,3.0,2000,1170,2010,7,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/11618-Leesborough-Cir-20902/home/40017157,MRIS,MC10023865,N,Y,"Sunday- Sep 24, 2017"
PAST SALE,,propertytype:Single Family Residential,USD416000,NA,2.5,1800,6910,1958,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/717-N-Belgrade-Rd-20902/home/11051207,,,N,Y,NA
PAST SALE,September-15-2017,propertytype:Townhouse,USD330000,3,2.5,1440,1600,1984,99,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/2892-Schoolhouse-Cir-20902/home/11120731,MRIS,MC10040627,N,Y,"Tuesday- Aug 29, 2017"
PAST SALE,September-5-2017,propertytype:Townhouse,USD379000,3,3.5,1860,1545,1985,88,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/10105-Green-Holly-Ter-20902/home/11113175,MRIS,MC10010675,N,Y,"Wednesday- Aug 09, 2017"
PAST SALE,September-5-2017,propertytype:Single Family Residential,USD396000,3,2.0,1134,9999,1955,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/201-Belton-Rd-20901/home/11060659,MRIS,MC9982158,N,Y,"Wednesday- Aug 09, 2017"
PAST SALE,September-7-2017,propertytype:Single Family Residential,USD545000,3,2.5,2312,7250,1948,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/15-Indian-Spring-Dr-20901/home/10960838,MRIS,MC10010084,N,Y,"Sunday- Aug 13, 2017"
PAST SALE,September-8-2017,propertytype:Single Family Residential,USD417000,3,2.5,1306,12861,1956,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/11020-Oakwood-St-20901/home/10562712,MRIS,MC10021375,N,Y,"Tuesday- Aug 15, 2017"
PAST SALE,September-9-2017,propertytype:Single Family Residential,USD670000,5,2.0,2295,6563,1940,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/8404-Galveston-Rd-20910/home/10968561,MRIS,MC9993605,N,Y,"Thursday- Aug 17, 2017"
PAST SALE,September-18-2017,propertytype:Single Family Residential,USD360000,4,1.0,1260,5612,1950,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/2216-Luzerne-Ave-20910/home/11075678,MRIS,MC9995921,N,Y,"Monday- Sep 04, 2017"
PAST SALE,September-18-2017,propertytype:Single Family Residential,USD737000,5,3.0,2350,7500,1992,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/701-Thayer-Ave-20910/home/10967811,MRIS,MC9944516,N,Y,"Monday- Sep 04, 2017"
PAST SALE,September-18-2017,propertytype:Single Family Residential,USD420000,4,2.0,1818,7105,1943,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/9316-Glenville-Rd-20901/home/11027273,MRIS,MC10015224,N,Y,"Monday- Sep 04, 2017"
PAST SALE,September-19-2017,propertytype:Single Family Residential,USD575000,4,2.0,1960,5500,1940,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/9707-Lawson-Pl-20901/home/10961265,MRIS,MC10031947,N,Y,"Wednesday- Sep 06, 2017"
PAST SALE,September-7-2017,propertytype:Single Family Residential,USD400000,3,2.5,1261,9985,1957,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/1902-Reedie-Dr-20902/home/11074147,MRIS,MC9999039,N,Y,"Sunday- Aug 13, 2017"
